id,name,team,countablePlays,averagePPA.all,totalPPA.all,totalPPA.pass,totalPPA.rush,position,season
3116181,Johnathan Thomas,Penn State,7,1.173,8.213,,8.213,RB,2018
3929652,Brandon Polk,Penn State,13,1.176,15.289,15.289,,WR,2018
4249588,Clayton Cheatham,James Madison,1,1.177,1.177,1.177,,TE,2018
4259749,Jeremiah Miller,Coastal Carolina,26,1.178,30.619,28.502,2.118,WR,2018
4389899,D Hartjohnson,New Mexico,4,1.18,4.722,4.722,,WR,2018
4039357,Sean Dykes,Memphis,14,1.18,16.515,16.515,,TE,2018
4239937,Matt McDonald,Boston College,8,1.181,9.448,9.541,-0.092,QB,2018
3138758,Brodrick Yancy,Temple,22,1.182,26.007,26.007,,WR,2018
3917282,Keith Mixon,Mississippi State,11,1.183,13.015,13.015,,WR,2018
4035913,Ryan Renick,Texas A&M,1,1.192,1.192,1.192,,TE,2018
4242556,Osiris St. Brown,Stanford,9,1.199,10.793,10.793,,WR,2018
4242896,Curtis Hodges,Arizona State,3,1.206,3.619,3.619,,TE,2018
3923412,Jake Robinson,Temple,1,1.209,1.209,1.209,,TE,2018
3129314,Nic Weishar,Notre Dame,3,1.21,3.629,3.629,,TE,2018
4240268,Parker Eichenberger,Houston,2,1.213,2.426,2.426,,TE,2018
4047344,Cody Markel,Vanderbilt,1,1.213,1.213,1.213,,TE,2018
3124518,Deron Thompson,Kansas,8,1.214,9.712,1.689,8.023,RB,2018
3135828,Woody Cornwell,NC State,2,1.222,2.444,,2.444,QB,2018
4241608,Reagan Roberson,Nevada,3,1.226,3.678,3.678,,TE,2018
4360818,Tyler Harrell,Louisville,3,1.233,3.699,3.699,,WR,2018
4034944,Josh Hammond,Florida,32,1.239,39.66,36.097,3.563,WR,2018
4362753,Dominic Gicinto,Missouri,16,1.242,19.865,19.865,,WR,2018
4372741,McCallan Castles,California,1,1.246,1.246,1.246,,TE,2018
3929643,Jonathan Holland,Penn State,7,1.247,8.731,7.355,1.375,TE,2018
3925348,Hale Hentges,Alabama,5,1.252,6.258,6.258,,TE,2018
3930086,Dawson Knox,Ole Miss,20,1.253,25.06,25.06,,TE,2018
3932354,Talon Shumway,BYU,26,1.258,32.708,32.708,,WR,2018
3917153,Collin Reed,Appalachian State,12,1.275,15.298,15.298,,TE,2018
4240472,Noah Gray,Duke,22,1.276,28.066,28.066,,TE,2018
4040109,Jahmmir Taylor,South Alabama,3,1.279,3.837,3.837,,WR,2018
4362763,Daniel Parker,Missouri,6,1.281,7.689,7.689,,TE,2018
4262274,Justin Walker,UAB,2,1.288,2.575,2.575,,WR,2018
4039019,Jordan Chin,Washington,1,1.291,1.291,1.291,,WR,2018
4243176,Brady Russell,Colorado,2,1.293,2.585,2.386,0.199,TE,2018
