id,name,team,countablePlays,averagePPA.all,totalPPA.all,totalPPA.pass,totalPPA.rush,position,season
500420,Adonis Smith,UNLV,35,-0.124,-4.343,4.412,-8.755,RB,2013
508163,T.J. Glover,South Alabama,6,-0.123,-0.738,0.304,-1.042,WR,2013
536499,Darrion Pollard,Rice,4,-0.123,-0.491,2.016,-2.508,WR,2013
501548,Anthony Wilkerson,Stanford,88,-0.122,-10.724,4.232,-14.956,RB,2013
552228,Kyle Nutter,Cincinnati,1,-0.122,-0.122,-0.122,,FB,2013
550814,Jacquille Veii,Maryland,44,-0.121,-5.332,0.794,-6.127,WR,2013
518088,Torrey Pierce,Louisiana,38,-0.119,-4.524,,-4.524,RB,2013
547347,Paco Solano,Air Force,12,-0.119,-1.43,,-1.43,RB,2013
531402,Jimmy Potepa,Ole Miss,5,-0.119,-0.597,,-0.597,RB,2013
502934,Adam Dingwell,San Diego State,73,-0.118,-8.602,-7.834,-0.768,QB,2013
535728,Tion Green,Cincinnati,83,-0.118,-9.796,0.369,-10.165,RB,2013
518052,Santonio Jones,UAB,3,-0.116,-0.347,0.574,-0.921,FB,2013
482794,Jonathan George,Kentucky,21,-0.112,-2.345,0.615,-2.96,RB,2013
535518,Charles Brooks,Kansas,2,-0.112,-0.225,-0.225,,TE,2013
532925,Kevin Ellison,Georgia Southern,3,-0.111,-0.333,-1.048,0.715,QB,2013
538425,Colton Huntsman,Air Force,17,-0.111,-1.881,1.604,-3.484,WR,2013
514452,Adonis Ameen-Moore,Syracuse,5,-0.11,-0.552,,-0.552,RB,2013
517557,Dillon Root,Fresno State,1,-0.109,-0.109,,-0.109,WR,2013
381468,Michael Alisa,BYU,29,-0.109,-3.157,,-3.157,RB,2013
482557,Cody Vaz,Oregon State,18,-0.107,-1.921,1.997,-3.918,QB,2013
546794,Ryan Green,Florida State,33,-0.107,-3.518,0.998,-4.516,RB,2013
502967,Stephen Bryant,TCU,1,-0.106,-0.106,-0.106,,TE,2013
534405,Ty Reed,Alabama,1,-0.106,-0.106,-0.106,,WR,2013
519225,Anthony Meray,Kent State,57,-0.105,-5.97,0.322,-6.292,RB,2013
481131,Demarcus Rogers,New Mexico,11,-0.105,-1.152,,-1.152,RB,2013
518264,Remi Watson,Marshall,32,-0.105,-3.366,-0.245,-3.121,RB,2013
531996,Brian Kimbrow,Vanderbilt,82,-0.104,-8.545,0.847,-9.393,RB,2013
537069,Stacey Bedell,UMass,99,-0.103,-10.195,4.726,-14.922,RB,2013
534654,Caleb Muncrief,Oklahoma State,6,-0.103,-0.618,,-0.618,WR,2013
505146,Tony Moore,Florida Atlantic,18,-0.103,-1.847,0.646,-2.493,RB,2013
546271,Brian Burrell,Fresno State,16,-0.103,-1.655,0.406,-2.061,QB,2013
500517,Ja'Terian Douglas,Tulsa,99,-0.102,-10.094,4.41,-14.504,RB,2013
514645,Desmond Rice,Liberty,28,-0.1,-2.805,0.778,-3.583,RB,2013
517248,Joe Hubener,Kansas State,2,-0.099,-0.197,,-0.197,QB,2013
503732,James Potts,Buffalo,58,-0.098,-5.689,,-5.689,RB,2013
480702,Beau Blankenship,Ohio,217,-0.095,-20.696,-2.831,-17.864,RB,2013
500913,Andrew Hendrix,Notre Dame,29,-0.095,-2.765,-3.805,1.04,QB,2013
550476,R.J. Shelton,Michigan State,22,-0.095,-2.087,-1.917,-0.17,WR,2013
536053,Darius Jackson,Eastern Michigan,53,-0.094,-4.964,1.095,-6.059,RB,2013
536149,Prescott Line,SMU,93,-0.093,-8.666,0.101,-8.767,RB,2013
531012,Jalen Cope-Fitzpatrick,USC,1,-0.092,-0.092,-0.092,,TE,2013
504101,Michael Dyer,Louisville,43,-0.092,-3.965,-0.307,-3.658,RB,2013
502309,Lyle McCombs,Connecticut,169,-0.091,-15.336,0.13,-15.466,RB,2013
515401,Lawrence Scott,Army,8,-0.09,-0.717,,-0.717,RB,2013
548054,Connor Wingo-Reeves,Virginia,1,-0.088,-0.088,-0.088,,FB,2013
537720,Lane Roseberry,Oregon,14,-0.088,-1.232,,-1.232,RB,2013
532191,Sydie London,Tulane,12,-0.086,-1.034,-1.034,,TE,2013
482947,Matt Schilz,Bowling Green,24,-0.085,-2.03,-1.022,-1.008,QB,2013
518337,Adam Hine,BYU,39,-0.084,-3.269,1.371,-4.64,RB,2013
549869,Jeremy Tabuyo,Texas A&M,6,-0.084,-0.504,-0.504,,WR,2013
486854,Paul Harris,Louisiana Tech,8,-0.083,-0.662,-0.604,-0.058,QB,2013
547541,Justin Goodwin,Rutgers,112,-0.079,-8.844,-1.686,-7.157,RB,2013
511566,LaQuintus Dowell,UTEP,12,-0.079,-0.947,,-0.947,RB,2013
517334,Dallas Burroughs,Boise State,4,-0.078,-0.313,-0.238,-0.074,WR,2013
381491,Iona Pritchard,BYU,5,-0.078,-0.389,0.506,-0.895,RB,2013
546283,Aaron Baltazar,Boise State,49,-0.077,-3.787,-0.932,-2.855,RB,2013
517186,Nick Sherry,UNLV,78,-0.077,-6.014,-7.489,1.475,QB,2013
552707,William Houston,Bowling Green,37,-0.076,-2.811,,-2.811,RB,2013
501523,Mack Brown,Florida,146,-0.076,-11.086,1.315,-12.401,RB,2013
482962,Darrell Smith,Clemson,4,-0.075,-0.299,-0.007,-0.293,FB,2013
514214,Kenzel Doe,Wisconsin,9,-0.074,-0.662,3.057,-3.718,WR,2013
536225,Chris Solomon,Nevada,84,-0.074,-6.214,5.841,-12.055,RB,2013
489457,Ryan Boykin,Ohio,104,-0.073,-7.605,4.835,-12.44,RB,2013
536396,Tyler Van Tubbergen,Western Michigan,195,-0.072,-14.052,-16.605,2.553,QB,2013
532420,Tim Edmond,Ohio,32,-0.071,-2.287,-0.381,-1.906,RB,2013
501027,Nehemiah Hicks,Texas A&M,1,-0.071,-0.071,-0.071,,TE,2013
535724,DJ Dowdy,Cincinnati,2,-0.071,-0.143,-0.143,,TE,2013
511297,Tony Creecy,NC State,51,-0.071,-3.614,2.586,-6.2,RB,2013
531569,Alec Osborne,Louisiana Monroe,1,-0.07,-0.07,-0.07,,TE,2013
515831,Shamier Jeffery,South Carolina,7,-0.069,-0.482,-0.482,,WR,2013
511394,Horactio Banks,Ball State,90,-0.069,-6.253,-0.983,-5.27,RB,2013
481244,Jyruss Edwards,Louisiana Monroe,110,-0.069,-7.63,-3.06,-4.571,RB,2013
532975,Taylor Graham,Hawai'i,108,-0.068,-7.338,-7.4,0.062,QB,2013
514232,Derek Straus,Wisconsin,2,-0.067,-0.134,-0.134,,FB,2013
503810,Jerome Smith,Syracuse,196,-0.067,-13.181,3.034,-16.215,RB,2013
535638,Zach Hernandez,UCLA,1,-0.067,-0.067,-0.067,,WR,2013
545514,Cameron Echols-Luper,TCU,7,-0.067,-0.469,-0.469,,WR,2013
484114,Karl Williams,Utah,21,-0.066,-1.386,-0.351,-1.035,RB,2013
552811,Shadrach Abrokwah,UMass,50,-0.064,-3.208,,-3.208,RB,2013
531356,Brandon Holloway,Mississippi State,17,-0.064,-1.082,1.64,-2.722,RB,2013
550775,Aaron Kemper,Army,11,-0.063,-0.691,,-0.691,RB,2013
504248,Nick Griffin,Mississippi State,26,-0.062,-1.61,3.272,-4.882,RB,2013
483544,Jason Simpson,San José State,65,-0.061,-3.947,0.129,-4.076,RB,2013
482287,Kendrick Hardy,Southern Mississippi,85,-0.061,-5.145,2.1,-7.245,RB,2013
502076,Shontrelle Johnson,Iowa State,95,-0.06,-5.689,2.24,-7.929,RB,2013
514189,Brandon Cottom,Purdue,52,-0.059,-3.062,3.973,-7.035,RB,2013
537099,Jonathan Wallace,Florida Atlantic,129,-0.059,-7.58,8.5,-16.08,RB,2013
511341,Derek King,Vanderbilt,5,-0.058,-0.29,,-0.29,RB,2013
503360,Brandon Hayes,Memphis,212,-0.057,-12.087,5.467,-17.553,RB,2013
531069,Johnathan Gray,Texas,167,-0.057,-9.512,3.831,-13.343,RB,2013
535089,Robert Williams III,Miami (OH),8,-0.057,-0.453,,-0.453,RB,2013
481443,Fitzgerald Toussaint,Michigan,187,-0.057,-10.643,20.108,-30.752,RB,2013
516201,John Hendrick,Navy,26,-0.057,-1.471,-2.262,0.791,QB,2013
504111,Patrick Lymon,Auburn,5,-0.055,-0.275,,-0.275,RB,2013
500803,Reggie Pegram,North Texas,83,-0.053,-4.39,2.751,-7.14,RB,2013
500428,Dareyon Chance,Western Michigan,165,-0.053,-8.757,2.283,-11.04,RB,2013
545417,Montell Cozart,Kansas,121,-0.053,-6.406,-4.822,-1.584,QB,2013
481901,Chris Nwoke,Colorado State,106,-0.052,-5.526,1.221,-6.747,RB,2013
484574,Dae'Quan Scott,James Madison,31,-0.052,-1.603,-1.722,0.118,WR,2013
532640,Darrin Duncan,Western Michigan,3,-0.051,-0.154,-0.798,0.644,WR,2013
511399,Jahwan Edwards,Ball State,206,-0.05,-10.33,0.658,-10.988,RB,2013
535083,Spencer McInnis,Miami (OH),13,-0.048,-0.622,3.584,-4.206,RB,2013
515455,Donovonn Young,Illinois,93,-0.048,-4.495,-0.215,-4.28,RB,2013
482999,Damian Fortner,Florida Atlantic,48,-0.047,-2.277,,-2.277,RB,2013
514832,Chris Hairston,East Carolina,36,-0.046,-1.669,3.666,-5.336,RB,2013
511251,Desmond Roland,Oklahoma State,169,-0.045,-7.63,0.456,-8.086,RB,2013
512791,Germi Morrison,New Mexico State,88,-0.045,-3.983,3.626,-7.61,RB,2013
550882,Jay Warren,Florida Atlantic,74,-0.045,-3.326,1.094,-4.42,RB,2013
